Time start,Time stop,Organic,Sulfate,Ammonium,Nitrate,Chloride
9/13/14 17:45,9/13/14 17:47,11.9472,1.75841,0.550953,0.290176,0.0156161
9/13/14 17:53,9/13/14 17:55,11.2027,1.59014,0.515114,0.211021,0.0136894
9/13/14 18:01,9/13/14 18:03,10.7381,1.4842,0.456858,0.174378,0.0147003
9/13/14 18:09,9/13/14 18:11,11.2625,1.56269,0.477693,0.174844,0.0173988
9/13/14 18:17,9/13/14 18:19,11.691,1.58269,0.503957,0.19448,0.0165493
9/13/14 18:25,9/13/14 18:27,11.3878,1.58027,0.510905,0.164823,0.0181701
9/13/14 18:33,9/13/14 18:35,10.9521,1.45021,0.453779,0.162619,0.00887217
9/13/14 18:41,9/13/14 18:43,10.926,1.43365,0.476453,0.152684,0.0162087
9/13/14 18:49,9/13/14 18:51,3.88525,0.595637,0.171677,0.0384974,0.00952438
9/13/14 18:57,9/13/14 18:59,3.55995,0.596208,0.174129,0.0472587,0.00943734
9/13/14 19:05,9/13/14 19:07,5.9413,0.900445,0.284233,0.0466278,0.0102774
9/13/14 19:13,9/13/14 19:15,5.81877,0.900757,0.27529,0.0829132,0.00971672
9/13/14 19:21,9/13/14 19:23,4.6362,0.753188,0.230268,0.0434653,0.00838765
9/13/14 19:29,9/13/14 19:31,4.92573,0.77756,0.259077,0.0715883,0.0117938
9/13/14 19:37,9/13/14 19:39,4.74542,0.735238,0.239229,0.0556584,0.00877841
9/13/14 19:45,9/13/14 19:47,4.5586,0.729764,0.224972,0.049968,0.00231844
9/13/14 19:53,9/13/14 19:55,4.4646,0.742671,0.236612,0.0396857,0.0121522
9/13/14 20:01,9/13/14 20:03,4.72083,0.719964,0.224486,0.0605656,0.0113818
9/13/14 20:17,9/13/14 20:18,4.4729,0.708016,0.231971,0.0620884,0.00952021
9/13/14 20:25,9/13/14 20:27,4.81421,0.722954,0.226816,0.0455451,0.00490813
9/13/14 20:33,9/13/14 20:35,4.58972,0.715477,0.220541,0.0547833,0.00949695
9/13/14 20:41,9/13/14 20:43,4.63345,0.717325,0.208483,0.06467,0.00904559
9/13/14 20:49,9/13/14 20:51,4.59768,0.69767,0.215358,0.0468744,0.0125049
9/13/14 20:57,9/13/14 20:59,4.4557,0.694825,0.202789,0.0524005,0.010564
9/13/14 21:05,9/13/14 21:07,4.89321,0.709334,0.216529,0.0586915,0.0127735
9/13/14 21:13,9/13/14 21:15,6.70487,0.97628,0.344037,0.0993495,0.0136928
9/13/14 21:37,9/13/14 21:39,7.37721,1.11325,0.386505,0.0872938,0.0162708
9/13/14 21:45,9/13/14 21:47,7.27039,1.08222,0.366399,0.0798833,0.0105902
9/13/14 21:53,9/13/14 21:55,7.3993,1.12105,0.381587,0.0864743,0.0123814
9/13/14 22:01,9/13/14 22:03,7.51275,1.12813,0.382217,0.0819713,0.0161336
9/13/14 22:33,9/13/14 22:34,6.84604,1.04531,0.330747,0.0629181,0.0117314
9/13/14 22:41,9/13/14 22:43,8.58823,1.15158,0.399989,0.150883,0.0142011
9/13/14 22:49,9/13/14 22:51,9.71393,1.20471,0.408559,0.158614,0.0169985
9/13/14 22:57,9/13/14 22:59,9.94741,1.19912,0.411448,0.127591,0.0184419
9/13/14 23:21,9/13/14 23:23,11.4579,1.15572,0.398305,0.154418,0.0158693
9/13/14 23:45,9/13/14 23:47,11.7234,1.15722,0.394881,0.162051,0.0170827
9/13/14 23:53,9/13/14 23:55,10.5556,1.14138,0.390477,0.118266,0.0202197
9/14/14 0:01,9/14/14 0:03,10.606,1.16251,0.396693,0.149862,0.0122011
9/14/14 0:09,9/14/14 0:11,10.9521,1.13458,0.454422,0.197967,0.0217499
9/14/14 0:17,9/14/14 0:19,11.0936,1.16056,0.4457,0.225745,0.0223942
9/14/14 0:25,9/14/14 0:27,10.1394,1.11608,0.40877,0.148065,0.0155108
9/14/14 0:33,9/14/14 0:35,10.0508,1.14445,0.373241,0.166756,0.0166714
9/14/14 0:41,9/14/14 0:43,10.0631,1.10757,0.380018,0.13924,0.0220829
9/14/14 0:57,9/14/14 0:59,9.35875,1.01209,0.355054,0.0935502,0.0177996
9/14/14 1:05,9/14/14 1:07,9.58988,1.04704,0.375857,0.112511,0.0151389
9/14/14 1:13,9/14/14 1:15,9.07457,1.0094,0.371513,0.114014,0.0140595
9/14/14 1:21,9/14/14 1:23,9.06448,1.06245,0.345104,0.0981147,0.014419
9/14/14 1:29,9/14/14 1:31,9.26971,1.05115,0.344569,0.118286,0.0207369
9/14/14 1:37,9/14/14 1:39,9.39585,0.972454,0.378713,0.129982,0.010168
9/14/14 1:45,9/14/14 1:47,8.9838,1.00307,0.390451,0.127959,0.0121983
9/14/14 1:53,9/14/14 1:55,9.21345,1.01441,0.415926,0.120637,0.00940799
9/14/14 2:01,9/14/14 2:03,9.66457,1.02715,0.341348,0.128453,0.0101924
9/14/14 2:09,9/14/14 2:11,9.04871,0.991422,0.349151,0.104819,0.0142509
9/14/14 2:17,9/14/14 2:19,9.02059,0.972936,0.338257,0.0987921,0.0147453
9/14/14 2:25,9/14/14 2:27,9.29879,0.977262,0.351071,0.107843,0.0164403
9/14/14 2:33,9/14/14 2:35,9.75436,0.946144,0.364035,0.11794,0.013887
9/14/14 2:41,9/14/14 2:43,10.1505,0.966543,0.389607,0.140215,0.0177148
9/14/14 2:49,9/14/14 2:51,9.61216,0.985047,0.33207,0.120626,0.0152903
9/14/14 2:57,9/14/14 2:59,9.72929,0.932078,0.340704,0.11341,0.00973613
9/14/14 3:05,9/14/14 3:07,10.846,0.920206,0.370626,0.172224,0.0208379
9/14/14 3:13,9/14/14 3:15,12.1369,0.927774,0.374673,0.22004,0.0176081
9/14/14 3:21,9/14/14 3:23,10.2181,0.850965,0.318078,0.139066,0.0139652
9/14/14 4:09,9/14/14 4:11,9.86635,0.811477,0.28541,0.119123,0.0130529
9/14/14 4:17,9/14/14 4:19,9.79095,0.791198,0.290176,0.122138,0.0165238
9/14/14 4:25,9/14/14 4:27,10.1176,0.797654,0.300572,0.114842,0.0146489
9/14/14 4:33,9/14/14 4:35,9.55169,0.751265,0.303631,0.116441,0.0122249
9/14/14 4:41,9/14/14 4:43,10.7485,0.805833,0.302378,0.162146,0.0156644
9/14/14 4:49,9/14/14 4:51,9.59989,0.737775,0.311575,0.11233,0.0137089
9/14/14 4:57,9/14/14 4:59,9.69562,0.732861,0.311858,0.113967,0.0183704
9/14/14 5:05,9/14/14 5:07,11.6832,0.764033,0.301162,0.154381,0.0181924
9/14/14 5:13,9/14/14 5:15,10.5205,0.747579,0.272127,0.114948,0.0178717
9/14/14 5:21,9/14/14 5:23,11.6367,0.759453,0.294325,0.156013,0.0154655
9/14/14 5:29,9/14/14 5:31,22.5753,0.955805,0.449128,0.534101,0.0557011
9/14/14 5:37,9/14/14 5:39,26.0562,0.998585,0.488881,0.635299,0.0673412
9/14/14 5:45,9/14/14 5:47,25.6732,0.943066,0.454957,0.587689,0.0667908
9/14/14 5:53,9/14/14 5:55,25.7953,0.955618,0.442174,0.547538,0.0671847
9/14/14 6:01,9/14/14 6:03,27.3284,0.970274,0.482347,0.633141,0.0666119
9/14/14 6:09,9/14/14 6:11,26.4444,1.03604,0.531141,0.694281,0.0672458
9/14/14 6:17,9/14/14 6:19,18.7575,0.86349,0.396485,0.424628,0.0400821
9/14/14 6:25,9/14/14 6:27,24.7664,1.03067,0.525613,0.696432,0.0567959
9/14/14 6:33,9/14/14 6:35,34.9391,1.23641,0.677578,1.00817,0.0779123
9/14/14 6:41,9/14/14 6:43,35.2879,1.24928,0.671022,1.03147,0.0870147
9/14/14 6:49,9/14/14 6:51,36.5728,1.24967,0.695645,1.04782,0.0824138
9/14/14 6:57,9/14/14 6:59,24.1045,0.958125,0.4916,0.633455,0.050904
9/14/14 7:05,9/14/14 7:07,40.1416,1.44179,0.793487,1.22024,0.0846945
9/14/14 7:13,9/14/14 7:15,23.0927,0.974582,0.4346,0.622158,0.0398499
9/14/14 7:21,9/14/14 7:23,16.3965,0.832193,0.33091,0.340245,0.0227484
9/14/14 7:29,9/14/14 7:31,15.9189,0.81839,0.335155,0.297075,0.0264618
9/14/14 7:37,9/14/14 7:39,15.3308,0.825693,0.32728,0.298559,0.0231895
9/14/14 7:45,9/14/14 7:47,13.7167,0.744318,0.312527,0.240347,0.0228572
9/14/14 7:53,9/14/14 7:55,10.3252,0.704183,0.266476,0.14082,0.0163674
9/14/14 8:01,9/14/14 8:03,11.3726,0.741942,0.25756,0.169919,0.0201215
9/14/14 8:09,9/14/14 8:11,15.2771,0.796462,0.296486,0.247571,0.0132567
9/14/14 8:17,9/14/14 8:19,18.6172,0.836838,0.351844,0.39029,0.0276968
